blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
57,5.35,0.0,0,0.0,1,38,33,3.09,27,2.53,Timmins,0,0,1,1,17,19,0,8479982,D,20242025,R,41,Conor Timmins,9,0.84,TOR,1008.81
67,4.67,1.0,0,1.0,1,43,43,3.0,68,4.74,Evans,2,5,0,1,27,35,0,8482858,D,20242025,L,40,Ryker Evans,7,0.48,SEA,1198.74
22,1.85,1.0,3,4.0,4,42,46,3.88,24,2.02,Hintz,1,3,4,0,30,38,0,8478449,C,20242025,L,33,Roope Hintz,12,1.01,DAL,1014.21
26,2.67,0.0,0,0.0,2,44,30,3.08,95,9.76,Podkolzin,2,0,0,0,29,31,0,8481617,R,20242025,L,19,Vasily Podkolzin,11,1.13,EDM,795.72
16,2.12,0.0,0,0.0,1,37,10,1.32,40,5.31,Robertson,0,2,3,1,25,31,0,8481582,L,20242025,L,29,Nicholas Robertson,10,1.32,TOR,732.83
17,1.6,0.0,1,1.0,1,43,20,1.88,259,24.44,Sherwood,0,1,2,1,37,41,0,8480748,L,20242025,R,36,Kiefer Sherwood,17,1.6,VAN,887.06
35,2.78,1.0,1,2.0,3,44,30,2.38,57,4.53,Hertl,0,3,7,1,37,48,0,8476881,C,20242025,L,35,Tomas Hertl,18,1.43,VGK,1029.02
29,3.67,0.0,2,2.0,1,45,21,2.65,74,9.36,Barron,1,0,2,0,23,27,0,8480289,C,20242025,L,17,Morgan Barron,18,2.27,WPG,631.84
25,2.41,0.0,2,2.0,0,43,26,2.51,6,0.57,Copp,0,0,1,1,19,22,0,8477429,C,20242025,L,14,Andrew Copp,16,1.54,DET,867.02
15,2.52,0.0,2,2.0,2,30,21,3.53,34,5.72,Lizotte,0,0,0,0,11,11,0,8481481,C,20242025,L,11,Blake Lizotte,6,1.01,PIT,712.26
29,4.73,0.0,0,0.0,1,27,27,4.4,4,0.65,Cholowski,1,0,0,0,7,8,0,8479395,D,20242025,L,19,Dennis Cholowski,6,0.97,NYI,816.96
35,2.73,0.0,0,0.0,2,39,32,2.5,37,2.89,Rust,2,5,2,3,38,50,2,8475810,R,20242025,R,24,Bryan Rust,11,0.85,PIT,1180.89
10,6.57,,0,,0,7,4,2.62,9,5.91,Benning,0,0,0,0,2,2,0,8476988,D,20242025,R,6,Matthew Benning,1,0.65,SJS,782.42
0,0.0,,0,,0,3,0,0.0,4,6.88,McGroarty,0,0,0,0,0,0,0,8483487,R,20242025,L,1,Rutger McGroarty,1,1.72,PIT,697.0
6,0.66,0.0,0,0.0,1,38,34,3.77,8,0.88,Smith,2,0,4,0,25,31,0,8484227,C,20242025,R,42,Will Smith,5,0.55,SJS,854.05
20,2.19,0.0,2,2.0,0,37,21,2.3,35,3.84,Appleton,0,0,1,1,16,18,0,8478891,C,20242025,R,20,Mason Appleton,9,0.98,WPG,885.62
27,2.66,0.0,0,0.0,4,40,45,4.44,46,4.54,Hartman,0,0,2,3,32,37,0,8477451,R,20242025,R,43,Ryan Hartman,10,0.98,MIN,910.57
5,3.38,,0,,0,4,8,5.41,0,0.0,Leddy,0,0,0,1,1,2,0,8475181,D,20242025,L,5,Nick Leddy,2,1.35,STL,1329.25
5,1.77,0.0,0,0.0,0,14,21,7.43,12,4.24,Svechkov,0,0,0,0,10,11,0,8482768,C,20242025,L,12,Fedor Svechkov,2,0.7,NSH,726.21
