assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
8,15,21,0.54233,4,43,19,Hintz,0,16,8478449,3,27,0.6279,C,4,6,20242025,0,0,0.18811,L,101,Roope Hintz,DAL,1017.6046
13,6,19,0.225,2,47,6,Podkolzin,0,18,8481617,9,19,0.40425,R,0,0,20242025,0,0,0.08108,L,74,Vasily Podkolzin,EDM,797.7234
4,7,11,0.66666,0,41,8,Robertson,0,6,8481582,-2,12,0.29268,L,1,1,20242025,0,0,0.13114,L,61,Nicholas Robertson,TOR,736.0975
3,2,5,0.6129,0,48,4,Barron,0,10,8480289,4,7,0.14583,C,0,0,20242025,2,2,0.06779,L,59,Morgan Barron,WPG,626.75
0,0,0,0.0,0,3,0,McGroarty,0,0,8483487,-1,0,0.0,R,0,0,20242025,0,0,0.0,L,2,Rutger McGroarty,PIT,697.0
11,5,14,0.31858,1,42,7,Smith,0,8,8484227,-16,18,0.42857,C,2,4,20242025,0,0,0.12068,R,58,Will Smith,SJS,862.8095
9,6,15,0.63636,1,37,6,Appleton,0,6,8478891,8,15,0.4054,C,0,0,20242025,0,0,0.1,R,60,Mason Appleton,WPG,885.6216
4,6,10,0.45631,0,33,8,Lizotte,0,18,8481481,5,12,0.36363,C,1,1,20242025,1,1,0.24242,L,33,Blake Lizotte,PIT,715.5757
5,3,7, ,0,28,3,Cholowski,0,10,8479395,1,8,0.28571,D,0,1,20242025,0,0,0.125,L,24,Dennis Cholowski,NYI,819.7857
18,16,29,0.57142,4,42,19,Rust,2,12,8475810,-21,37,0.88095,R,3,8,20242025,0,0,0.17117,R,111,Bryan Rust,PIT,1171.9761
0,0,0, ,0,7,0,Benning,0,4,8476988,-5,0,0.0,D,0,0,20242025,0,0,0.0,R,7,Matthew Benning,SJS,782.4285
10,8,18,0.51084,1,47,8,Copp,0,6,8477429,1,18,0.38297,C,0,0,20242025,0,0,0.14545,L,55,Andrew Copp,DET,867.7021
8,6,13,0.4744,0,42,7,Hartman,0,37,8477451,-7,15,0.35714,R,1,2,20242025,0,0,0.07291,R,96,Ryan Hartman,MIN,906.4761
0,0,0, ,0,4,0,Leddy,0,0,8475181,-3,0,0.0,D,0,0,20242025,0,0,0.0,L,4,Nick Leddy,STL,1329.25
1,4,4,0.4,0,17,5,Svechkov,0,2,8482768,-2,6,0.35294,C,1,2,20242025,0,0,0.2,L,25,Fedor Svechkov,NSH,714.8235
1,4,5,0.56209,1,46,4,Cizikas,0,12,8475231,-14,5,0.10869,C,0,0,20242025,0,0,0.09302,L,43,Casey Cizikas,NYI,755.3043
3,1,4,0.42857,0,26,1,Kostin,0,25,8480011,-4,4,0.15384,C,0,0,20242025,0,0,0.05263,L,19,Klim Kostin,SJS,631.6538
13,5,14,0.48833,0,33,7,Eriksson Ek,0,14,8478493,8,20,0.60606,C,2,6,20242025,0,0,0.07865,L,89,Joel Eriksson Ek,MIN,1168.909
18,11,19,0.48648,3,47,19,DeBrincat,0,12,8479337,-15,37,0.78723,R,8,18,20242025,0,0,0.15322,R,124,Alex DeBrincat,DET,1046.5957
15,7,15,0.54625,3,46,12,Nugent-Hopkins,1,12,8476454,2,27,0.58695,C,5,12,20242025,0,0,0.12903,L,93,Ryan Nugent-Hopkins,EDM,1149.9782
12,4,13, ,1,45,6,Andersson,0,34,8478397,-9,18,0.4,D,2,5,20242025,0,0,0.06741,R,89,Rasmus Andersson,CGY,1459.1555
17,8,24, ,3,48,10,Parayko,1,6,8476892,3,27,0.5625,D,1,1,20242025,1,2,0.10989,R,91,Colton Parayko,STL,1467.1041
7,6,11,0.43157,0,47,7,Frederic,0,42,8479365,-11,14,0.29787,C,1,3,20242025,0,0,0.10606,L,66,Trent Frederic,BOS,850.0425
0,0,0, ,0,7,0,Bjornfot,0,0,8481600,4,0,0.0,D,0,0,20242025,0,0,0.0,L,8,Tobias Bjornfot,FLA,826.4285
6,10,16,0.54901,2,50,10,Cotter,0,41,8481032,-7,16,0.32,C,0,0,20242025,0,0,0.16949,L,59,Paul Cotter,NJD,808.3
12,3,12, ,0,43,3,Spence,0,14,8481606,10,15,0.34883,D,0,3,20242025,0,0,0.06521,R,46,Jordan Spence,LAK,1052.093
14,3,14,0.44861,2,46,6,Compher,0,10,8477456,1,20,0.43478,L,3,6,20242025,0,0,0.10344,R,58,J.T. Compher,DET,999.6521
15,5,17, ,1,47,8,Montour,0,35,8477986,-3,23,0.48936,D,3,6,20242025,0,0,0.06153,R,130,Brandon Montour,SEA,1411.851
13,9,21,0.48811,1,47,10,Cozens,0,45,8481528,-18,23,0.48936,C,1,2,20242025,0,0,0.09345,R,107,Dylan Cozens,BUF,1041.2765
0,0,0,1.0,0,3,0,Gatcomb,0,0,8483553,-1,0,0.0,C,0,0,20242025,0,0,0.0,R,4,Marc Gatcomb,NYI,537.0
1,0,1,0.5,0,10,0,Hinostroza,0,6,8476994,2,1,0.1,C,0,0,20242025,0,0,0.0,R,10,Vinnie Hinostroza,NSH,710.8
0,0,0, ,0,11,0,Reilly,0,2,8476422,1,0,0.0,D,0,0,20242025,0,0,0.0,L,15,Mike Reilly,NYI,945.0909
3,3,6, ,0,40,3,Stecher,0,23,8479442,-1,6,0.15,D,0,0,20242025,0,0,0.08571,R,35,Troy Stecher,EDM,832.775
15,10,16,0.0,2,34,13,Johnson,0,8,8482660,-5,28,0.82352,C,2,10,20242025,1,2,0.19117,L,68,Kent Johnson,CBJ,1044.9705
7,1,8, ,0,34,1,Stanley,0,61,8479378,6,8,0.23529,D,0,0,20242025,0,0,0.04166,L,24,Logan Stanley,WPG,967.8529
5,2,6,0.47959,0,27,3,Danforth,0,10,8479941,-7,8,0.29629,R,0,1,20242025,1,1,0.05882,R,51,Justin Danforth,CBJ,896.9629
