blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
0,0.0,,0,,0,1,1,4.95,0,0.0,Perbix,0,0,0,0,0,0,0,8480246,D,20242025,R,1,Nick Perbix,0,0.0,TBL,727.0
0,0.0,,0,,0,1,1,4.8,1,4.8,Gaudette,0,0,0,0,1,1,0,8478874,R,20242025,R,1,Adam Gaudette,0,0.0,OTT,749.0
0,0.0,,0,,0,1,0,0.0,2,10.65,Kaliyev,0,0,0,0,0,0,0,8481560,R,20242025,L,0,Arthur Kaliyev,0,0.0,NYR,676.0
1,3.75,0.0,0,0.0,1,1,0,0.0,1,3.75,Lafrenière,0,0,0,0,0,0,0,8482109,L,20242025,L,2,Alexis Lafrenière,0,0.0,NYR,959.0
0,0.0,0.0,0,0.0,0,1,0,0.0,1,5.01,Carrick,0,0,0,0,0,0,0,8475842,C,20242025,R,0,Sam Carrick,0,0.0,NYR,718.0
1,3.5,,0,,0,1,2,7.01,0,0.0,Kreider,0,0,0,0,2,2,0,8475184,L,20242025,L,0,Chris Kreider,0,0.0,NYR,1026.0
2,6.94,0.0,0,0.0,0,1,1,3.47,1,3.47,Zibanejad,0,0,0,0,1,1,0,8476459,C,20242025,R,1,Mika Zibanejad,0,0.0,NYR,1037.0
0,0.0,,0,,0,1,1,3.1,1,3.1,Stützle,0,0,0,0,0,0,0,8482116,C,20242025,L,2,Tim Stützle,1,3.1,OTT,1159.0
0,0.0,0.0,0,0.0,0,1,0,0.0,0,0.0,Miller,0,0,0,0,1,1,0,8480817,D,20242025,L,1,K'Andre Miller,0,0.0,NYR,1384.0
1,3.9,,0,,0,1,0,0.0,3,11.72,Amadio,0,0,0,0,1,1,0,8478020,R,20242025,R,0,Michael Amadio,0,0.0,OTT,921.0
1,6.52,,0,,0,1,0,0.0,2,13.04,Rempe,0,0,0,0,0,0,0,8482460,C,20242025,R,0,Matt Rempe,0,0.0,NYR,552.0
0,0.0,0.0,0,0.0,0,1,0,0.0,3,15.36,Edstrom,0,0,0,0,1,1,0,8481726,C,20242025,L,0,Adam Edstrom,0,0.0,NYR,703.0
1,3.32,,0,,0,1,2,6.64,1,3.32,Borgen,0,0,0,0,0,0,0,8478840,D,20242025,R,1,Will Borgen,0,0.0,"SEA,NYR",1083.0
0,0.0,0.0,0,0.0,0,1,0,0.0,1,3.32,Trocheck,0,0,0,0,0,0,0,8476389,C,20242025,R,0,Vincent Trocheck,0,0.0,NYR,1084.0
1,3.13,,0,,0,1,1,3.13,0,0.0,Jensen,0,0,0,0,0,0,0,8475324,D,20242025,R,1,Nick Jensen,1,3.13,OTT,1148.0
2,5.8,,0,,0,1,0,0.0,1,2.9,Sanderson,0,0,0,0,1,1,0,8482105,D,20242025,L,1,Jake Sanderson,0,0.0,OTT,1241.0
0,0.0,,0,,0,1,1,3.06,1,3.06,Pinto,0,0,0,0,4,4,0,8481596,C,20242025,R,1,Shane Pinto,0,0.0,OTT,1175.0
3,9.73,0.0,0,0.0,0,1,2,6.49,0,0.0,Schneider,0,0,0,0,0,0,0,8482073,D,20242025,R,1,Braden Schneider,0,0.0,NYR,1109.0
3,8.12,,0,,0,1,1,2.7,0,0.0,Zub,0,0,0,0,0,0,0,8482245,D,20242025,R,0,Artem Zub,0,0.0,OTT,1330.0
0,0.0,,0,,0,1,1,3.49,0,0.0,Batherson,0,1,0,0,1,2,0,8480208,R,20242025,R,0,Drake Batherson,0,0.0,OTT,1031.0
1,4.23,,0,,0,1,0,0.0,0,0.0,Matinpalo,0,0,0,0,1,1,0,8484321,D,20242025,R,2,Nikolas Matinpalo,0,0.0,OTT,850.0
0,0.0,,0,,0,1,2,6.52,0,0.0,Panarin,0,0,0,0,0,0,0,8478550,L,20242025,R,3,Artemi Panarin,1,3.26,NYR,1103.0
0,0.0,,0,,0,1,1,3.96,0,0.0,Giroux,0,0,0,0,0,0,0,8473512,R,20242025,R,0,Claude Giroux,1,3.96,OTT,907.0
0,0.0,,0,,0,1,3,9.73,0,0.0,Chytil,0,0,0,0,0,0,0,8480078,C,20242025,L,3,Filip Chytil,0,0.0,NYR,1109.0
0,0.0,,0,,0,1,0,0.0,5,23.84,Ostapchuk,0,0,0,0,0,0,0,8482859,C,20242025,L,0,Zack Ostapchuk,0,0.0,OTT,755.0
0,0.0,,0,,0,1,1,4.56,3,13.7,Cousins,0,0,0,0,0,0,0,8476393,C,20242025,L,3,Nick Cousins,0,0.0,OTT,788.0
0,0.0,,0,,0,1,4,15.56,1,3.89,Smith,0,0,0,0,0,0,0,8475191,R,20242025,L,0,Reilly Smith,1,3.89,NYR,925.0
2,7.05,,0,,0,1,0,0.0,5,17.64,Cuylle,0,0,0,0,3,3,0,8482157,L,20242025,L,0,Will Cuylle,0,0.0,NYR,1020.0
3,8.78,0.0,0,0.0,0,1,0,0.0,0,0.0,Fox,0,0,0,0,0,0,0,8479323,D,20242025,R,3,Adam Fox,0,0.0,NYR,1229.0
3,7.04,,0,,0,1,3,7.04,0,0.0,Chabot,0,0,0,0,1,1,0,8478469,D,20242025,L,2,Thomas Chabot,0,0.0,OTT,1532.0
0,0.0,,0,,0,1,0,0.0,0,0.0,Norris,0,0,0,0,0,0,0,8480064,C,20242025,L,0,Josh Norris,0,0.0,OTT,227.0
2,9.07,,0,,0,1,0,0.0,1,4.53,Highmore,0,0,0,0,0,0,0,8478146,C,20242025,L,1,Matthew Highmore,1,4.53,OTT,793.0
0,0.0,,0,,0,1,0,0.0,1,3.34,Greig,0,0,0,0,1,1,0,8482092,C,20242025,L,2,Ridly Greig,1,3.34,OTT,1076.0
1,3.64,0.0,0,0.0,0,1,2,7.28,1,3.64,Vaakanainen,0,0,0,0,0,0,0,8480001,D,20242025,L,1,Urho Vaakanainen,0,0.0,"ANA,NYR",989.0
2,6.83,,0,,0,1,0,0.0,0,0.0,Lindgren,0,0,0,0,0,0,0,8479324,D,20242025,L,0,Ryan Lindgren,0,0.0,NYR,1054.0
0,0.0,,0,,0,1,2,7.17,5,17.92,Tkachuk,0,0,0,0,2,2,0,8480801,L,20242025,L,1,Brady Tkachuk,1,3.58,OTT,1004.0
0,0.0,,0,,0,1,0,0.0,1,4.08,Kleven,0,0,0,0,0,0,0,8482095,D,20242025,L,2,Tyler Kleven,0,0.0,OTT,882.0
1,4.02,,0,,0,1,1,4.02,1,4.02,Copp,0,0,0,0,0,0,0,8477429,C,20242025,L,0,Andrew Copp,0,0.0,DET,895.0
1,3.12,,0,,0,1,2,6.24,3,9.36,Frost,0,0,0,0,1,1,0,8480028,C,20242025,L,1,Morgan Frost,0,0.0,PHI,1153.0
2,5.08,,0,,0,1,0,0.0,2,5.08,Chiarot,0,0,0,0,0,0,0,8475279,D,20242025,L,1,Ben Chiarot,0,0.0,DET,1416.0
1,3.81,,0,,0,1,1,3.81,0,0.0,Kane,0,0,0,0,2,2,0,8474141,R,20242025,L,0,Patrick Kane,0,0.0,DET,943.0
0,0.0,,0,,0,1,1,3.61,0,0.0,Compher,0,0,0,0,1,1,0,8477456,L,20242025,R,0,J.T. Compher,0,0.0,DET,996.0
1,2.97,,0,,0,1,0,0.0,1,2.97,Drysdale,0,0,0,0,0,0,0,8482142,D,20242025,R,0,Jamie Drysdale,0,0.0,PHI,1210.0
2,4.39,,0,,0,1,0,0.0,2,4.39,Seider,0,0,0,0,0,0,0,8481542,D,20242025,R,4,Moritz Seider,0,0.0,DET,1640.0
0,0.0,,0,,0,1,0,0.0,1,2.9,Ristolainen,0,0,0,0,0,0,1,8477499,D,20242025,R,2,Rasmus Ristolainen,0,0.0,PHI,1241.0
1,3.87,,0,,0,1,1,3.87,0,0.0,DeBrincat,0,1,0,0,0,1,0,8479337,R,20242025,R,0,Alex DeBrincat,2,7.74,DET,930.0
0,0.0,,0,,0,1,0,0.0,0,0.0,Rasmussen,0,0,0,0,1,1,0,8479992,C,20242025,L,2,Michael Rasmussen,0,0.0,DET,817.0
0,0.0,0.0,0,0.0,0,1,0,0.0,1,3.64,Couturier,0,0,0,0,1,1,0,8476461,C,20242025,L,0,Sean Couturier,0,0.0,PHI,987.0
1,2.95,,0,,0,1,0,0.0,1,2.95,York,0,0,0,1,1,2,0,8481546,D,20242025,L,1,Cam York,0,0.0,PHI,1217.0
1,2.7,,0,,0,1,0,0.0,0,0.0,Edvinsson,0,0,0,0,0,0,0,8482762,D,20242025,L,2,Simon Edvinsson,0,0.0,DET,1332.0
0,0.0,0.0,0,0.0,1,1,1,4.06,0,0.0,Farabee,0,0,0,0,1,1,0,8480797,L,20242025,L,0,Joel Farabee,0,0.0,PHI,886.0
1,2.92,0.0,0,0.0,0,1,0,0.0,0,0.0,Tippett,0,0,0,0,1,1,0,8480015,R,20242025,R,2,Owen Tippett,1,2.92,PHI,1231.0
1,3.62,,0,,0,1,1,3.62,0,0.0,Holl,0,0,0,0,0,0,0,8475718,D,20242025,R,0,Justin Holl,0,0.0,DET,992.0
0,0.0,,0,,0,1,1,4.95,0,0.0,Lycksell,0,0,0,0,0,0,0,8480245,R,20242025,L,0,Olle Lycksell,0,0.0,PHI,727.0
1,3.58,,0,,0,1,2,7.17,1,3.58,Brink,0,0,0,0,1,1,0,8481553,R,20242025,R,0,Bobby Brink,1,3.58,PHI,1003.0
2,6.45,,0,,0,1,2,6.45,0,0.0,Zamula,0,0,0,0,0,0,0,8481178,D,20242025,L,1,Egor Zamula,0,0.0,PHI,1116.0
1,4.09,,0,,0,1,0,0.0,0,0.0,Foerster,0,1,0,0,0,1,0,8482159,R,20242025,R,2,Tyson Foerster,1,4.09,PHI,880.0
0,0.0,,0,,0,1,0,0.0,2,7.48,Cates,0,0,2,0,1,3,0,8480220,L,20242025,L,0,Noah Cates,2,7.48,PHI,962.0
2,4.9,,0,,0,1,1,2.45,1,2.45,Sanheim,0,0,0,0,0,0,0,8477948,D,20242025,L,1,Travis Sanheim,1,2.45,PHI,1468.0
0,0.0,,0,,0,1,1,4.92,2,9.84,Hathaway,0,0,0,0,1,1,0,8477903,R,20242025,R,0,Garnet Hathaway,0,0.0,PHI,731.0
1,5.63,,0,,0,1,0,0.0,1,5.63,Abols,0,0,0,0,1,1,0,8479022,C,20242025,L,1,Rodrigo Abols,0,0.0,PHI,639.0
1,3.77,,0,,0,1,2,7.55,0,0.0,Gustafsson,0,0,0,0,1,1,0,8476979,D,20242025,L,1,Erik Gustafsson,0,0.0,DET,953.0
