blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
38,2.87,1.0,1,2.0,4,46,30,2.27,58,4.39,Hertl,0,3,7,1,41,52,0,8476881,C,20242025,L,35,Tomas Hertl,19,1.43,VGK,1033.89
18,1.38,0.0,0,0.0,4,47,30,2.3,27,2.07,Toffoli,2,4,4,2,28,41,0,8475726,C,20242025,R,56,Tyler Toffoli,13,1.0,SJS,994.78
58,5.21,0.0,0,0.0,1,40,34,3.05,29,2.6,Timmins,0,0,1,1,22,24,0,8479982,D,20242025,R,43,Conor Timmins,9,0.8,TOR,1000.65
17,1.56,0.0,1,1.0,1,44,20,1.84,262,24.13,Sherwood,0,1,2,1,37,41,0,8480748,L,20242025,R,36,Kiefer Sherwood,17,1.56,VAN,888.09
69,4.7,1.0,0,1.0,1,44,44,2.99,70,4.77,Evans,2,5,0,1,28,36,0,8482858,D,20242025,L,41,Ryker Evans,7,0.47,SEA,1200.43
22,1.85,1.0,3,4.0,4,42,46,3.88,24,2.02,Hintz,1,3,4,0,30,38,0,8478449,C,20242025,L,33,Roope Hintz,12,1.01,DAL,1014.21
27,2.71,0.0,0,0.0,2,45,31,3.11,98,9.85,Podkolzin,2,1,0,0,29,32,0,8481617,R,20242025,L,19,Vasily Podkolzin,12,1.2,EDM,795.93
18,2.26,0.0,0,0.0,1,39,11,1.38,42,5.28,Robertson,0,2,3,1,28,34,0,8481582,L,20242025,L,29,Nicholas Robertson,10,1.25,TOR,733.3
30,3.68,0.0,2,2.0,1,47,23,2.82,75,9.2,Barron,1,0,2,0,24,28,0,8480289,C,20242025,L,20,Morgan Barron,18,2.2,WPG,624.27
0,0.0, ,0, ,0,3,0,0.0,4,6.88,McGroarty,0,0,0,0,0,0,0,8483487,R,20242025,L,1,Rutger McGroarty,1,1.72,PIT,697.0
6,0.62,0.0,0,0.0,1,40,35,3.66,9,0.94,Smith,2,0,4,0,25,31,0,8484227,C,20242025,R,44,Will Smith,6,0.62,SJS,858.65
28,2.58,0.0,2,2.0,0,45,26,2.39,6,0.55,Copp,0,0,1,1,19,22,0,8477429,C,20242025,L,15,Andrew Copp,16,1.47,DET,867.93
16,2.53,0.0,2,2.0,2,32,22,3.48,34,5.38,Lizotte,0,0,0,0,14,14,0,8481481,C,20242025,L,11,Blake Lizotte,6,0.94,PIT,710.65
30,4.7,0.0,0,0.0,1,28,31,4.86,5,0.78,Cholowski,2,0,0,0,7,9,0,8479395,D,20242025,L,23,Dennis Cholowski,6,0.94,NYI,819.78
36,2.69,0.0,0,0.0,2,41,33,2.46,39,2.91,Rust,2,5,2,3,40,52,2,8475810,R,20242025,R,24,Bryan Rust,11,0.82,PIT,1174.43
10,6.57, ,0, ,0,7,4,2.62,9,5.91,Benning,0,0,0,0,2,2,0,8476988,D,20242025,R,6,Matthew Benning,1,0.65,SJS,782.42
20,2.19,0.0,2,2.0,0,37,21,2.3,35,3.84,Appleton,0,0,1,1,16,18,0,8478891,C,20242025,R,20,Mason Appleton,9,0.98,WPG,885.62
27,2.66,0.0,0,0.0,4,40,45,4.44,46,4.54,Hartman,0,0,2,3,32,37,0,8477451,R,20242025,R,43,Ryan Hartman,10,0.98,MIN,910.57
5,3.38, ,0, ,0,4,8,5.41,0,0.0,Leddy,0,0,0,1,1,2,0,8475181,D,20242025,L,5,Nick Leddy,2,1.35,STL,1329.25
6,2.01,0.0,0,0.0,0,15,22,7.37,13,4.35,Svechkov,0,0,0,1,12,14,0,8482768,C,20242025,L,12,Fedor Svechkov,2,0.67,NSH,716.4
35,3.69,0.0,1,1.0,0,45,21,2.21,104,10.98,Cizikas,0,2,2,0,24,28,0,8475231,C,20242025,L,16,Casey Cizikas,12,1.26,NYI,757.17
11,2.41,0.0,0,0.0,0,26,23,5.04,82,17.97,Kostin,0,0,0,1,8,9,0,8480011,C,20242025,L,10,Klim Kostin,2,0.43,SJS,631.65
21,2.11,0.0,0,0.0,0,31,19,1.91,54,5.43,Eriksson Ek,1,2,1,0,29,33,0,8478493,C,20242025,L,20,Joel Eriksson Ek,9,0.9,MIN,1154.7
17,1.29,0.0,0,0.0,5,45,35,2.66,17,1.29,DeBrincat,3,4,6,3,37,53,0,8479337,R,20242025,R,49,Alex DeBrincat,15,1.14,DET,1049.68
26,1.85,0.0,1,1.0,2,44,22,1.56,14,0.99,Nugent-Hopkins,2,3,1,1,34,41,1,8476454,C,20242025,L,35,Ryan Nugent-Hopkins,17,1.21,EDM,1147.02
111,6.08,0.0,0,0.0,2,45,64,3.5,18,0.98,Andersson,0,1,2,4,45,52,0,8478397,D,20242025,R,71,Rasmus Andersson,23,1.26,CGY,1459.15
110,5.88,2.0,1,3.0,1,46,63,3.36,69,3.69,Parayko,0,2,4,1,31,39,1,8476892,D,20242025,R,47,Colton Parayko,19,1.01,STL,1463.36
25,2.25,0.0,0,0.0,1,47,27,2.43,132,11.89,Frederic,0,2,1,0,27,30,0,8479365,C,20242025,L,43,Trent Frederic,7,0.63,BOS,850.04
3,2.23, ,0, ,0,6,2,1.49,7,5.22,Bjornfot,0,1,0,0,3,4,0,8481600,D,20242025,L,6,Tobias Bjornfot,0,0.0,FLA,803.83
21,1.94,0.0,1,1.0,1,48,25,2.31,163,15.08,Cotter,2,0,4,0,30,36,0,8481032,C,20242025,L,35,Paul Cotter,10,0.92,NJD,810.58
46,3.86,0.0,0,0.0,2,41,47,3.95,40,3.36,Spence,0,4,2,2,25,33,0,8481606,D,20242025,R,42,Jordan Spence,7,0.58,LAK,1044.36
31,2.53,0.0,0,0.0,2,44,26,2.12,12,0.98,Compher,1,1,1,0,18,21,0,8477456,L,20242025,R,19,J.T. Compher,11,0.89,DET,1001.59
52,2.93,0.0,0,0.0,1,45,52,2.93,50,2.82,Montour,4,5,2,5,63,79,0,8477986,D,20242025,R,94,Brandon Montour,15,0.84,SEA,1417.95
30,2.3,1.0,0,1.0,1,45,40,3.07,90,6.91,Cozens,1,2,4,1,29,37,0,8481528,C,20242025,R,45,Dylan Cozens,10,0.76,BUF,1040.73
1,3.18, ,0, ,0,2,0,0.0,11,35.04,Gatcomb,0,0,0,0,1,1,0,8483553,C,20242025,R,0,Marc Gatcomb,1,3.18,NYI,565.0
5,3.06,0.0,0,0.0,0,8,11,6.74,10,6.13,Hinostroza,0,1,1,1,9,12,0,8476994,C,20242025,R,8,Vinnie Hinostroza,0,0.0,NSH,734.0
4,1.38, ,0, ,0,11,12,4.15,3,1.03,Reilly,1,0,1,0,11,13,0,8476422,D,20242025,L,10,Mike Reilly,1,0.34,NYI,945.09
37,4.16,0.0,0,0.0,0,38,27,3.04,17,1.91,Stecher,0,0,0,0,11,11,0,8479442,D,20242025,R,31,Troy Stecher,2,0.22,EDM,841.18
9,0.97,0.0,0,0.0,0,32,32,3.45,1,0.1,Johnson,1,0,1,0,19,21,0,8482660,C,20242025,L,33,Kent Johnson,13,1.4,CBJ,1041.28
27,4.22,1.0,1,2.0,0,25,10,1.56,51,7.97,Danforth,0,2,0,0,9,11,0,8479941,R,20242025,R,7,Justin Danforth,3,0.46,CBJ,920.44
